,Date,Place,Title,Band,Open,Start
27,2018-08-28,梅田Zeela,Madwink. PRESENTS ゴシップ単独公演TOUR2018 「鬼畜生-ONICHIKUSHOW-」,['鬼畜ゴシップ-キチクゴシップ-'],17:30:00,18:00:00
28,2018-08-29,梅田Zeela,EPIC MONSTER CD発売企画『Epic First Quest』〜ひのきの棒でどう戦う！？〜,"['EPIC MONSTER', 'FAREWELL MY FAITH', 'Annon', 'ARoots', 'Notes']",18:00:00,18:30:00
29,2018-08-30,梅田Zeela,sally×梅田Zeela presents クロスカウンター vol.3,"['sally', 'in state', '空中投歌', 'grunband', 'ワダアツシ']",18:30:00,19:00:00
30,2018-08-31,梅田Zeela,Summer of Deception Fest 2018 Osaka,"['Victim of Deception', 'Last Day Dream', 'Paledusk', 'FOAD', 'Sable Hills', 'abstracts', 'Auer Last Night Walker', 'SEIZE THE THRONE', 'Suggestions', '[O.A]BANE']",13:30:00,14:00:00
0,2018-09-01,梅田Zeela,ざこけんジョイント,"['治安継続委員会', 'ガバガバガール', 'さきんこのフレンズ', 'SAYURITIAN X', 'イナ・サティフォ', 'Aoi Oyama Identity', 'あしべとガラゴ', 'Union Jack Collection', 'モテる野口のディレイ講座', 'BREAKING ASSHOLE', 'Low Guy is Good', '大人ミルク']",13:15:00,13:30:00
1,2018-09-02,梅田Zeela,KAYOKO ONE MAN TOUR 2018 「Plug-in 0 for ∀」vol.4～on a journey〜,['カヨコ'],17:15:00,18:00:00
2,2018-09-02,梅田Zeela,ReoNa「SWEET HURT」発売記念リリースイベント,['ReoNa'],11:30:00,12:00:00
3,2018-09-03,梅田Zeela,NANIWAdelic＠梅田Zeela～Ruuny-TRIBE～,"['Runny Noize', 'revenge my LOST']",18:30:00,19:00:00
4,2018-09-04,梅田Zeela,Fruits Basket Vol.73,"['同志社女子大学 軽音楽部', '関西大学(千里山キャンパス) 千里山シェルター', '大手前大学 軽音楽部', '大阪医科大学 軽音楽部', '阪南大学 Music Lovers', '大阪電気通信大学 軽音楽部', '大阪府立大学 なかもず軽音楽部', '大阪経済法科大学 軽音楽部', '太成学院大学 軽音楽部', '大阪工業大学(枚方キャンパス) 情報科学部軽音部', '関西外国語大学(中宮キャンパス) 軽音楽部', '和歌山大学 軽音楽部']",13:45:00,14:00:00
5,2018-09-05,梅田Zeela,Music Quest オーディションライブ2018,"['豊胸事変', 'ice climber', 'Loud Climb City', 'ジブリメタル', 'Le Miel', 'また坊感謝バンド']",15:00:00,15:30:00
6,2018-09-06,梅田Zeela,Today Never Knows,"['イズミアキヒロ', 'イネムリだるま', 'Dr.empty', 'Zililili', 'SEASIDE CIRCUIT']",18:00:00,18:30:00
7,2018-09-07,梅田Zeela,梅田の中心で愛を叫ぶVol.3～ザ・クレーター TOUR 2018「BAND MAGIC IS THIS！」～木村結香1st Album「アオノセカイ」release tour 2018〜キミとメグルセカイ〜,"['ザ・クレーター', '木村結香', 'HORIZIC', 'Icchie', '絶倫太郎']",17:30:00,18:00:00
8,2018-09-08,梅田Zeela,OSAKA FUNK GRAMMAR 2018,"['ズクナシ/ Neighbors Complain', 'Shunské G & The Peas', 'BimBamBoom', 'ナチュラルキラーズ', '大阪FUNKASTIC', 'Just Monkey', 'Heartful★Funks', 'Silky藤野 Special Band With 清水興', 'モミーFUNK!', 'K-106', 'Muff', '踊る!ディスコ室町', 'Amy', 'GROOVE SKOOL']",13:30:00,14:00:00
9,2018-09-09,梅田Zeela,"ONEMAN SHOWS ""TRY""",['The Winking Owl'],18:00:00,18:30:00
10,2018-09-10,梅田Zeela,MAINTENANCE,['--------------------'],00:00:00,00:00:00
11,2018-09-11,梅田Zeela,Fruits Basket Vol.73,"['大阪医科大学 軽音楽部', '大阪電気通信大学 軽音楽部', '大阪府立大学 なかもず軽音楽部', '大阪経済法科大学 軽音楽部', '太成学院大学 軽音楽部', '大阪工業大学(枚方キャンパス) 情報科学部軽音部', '神戸国際大学 軽音楽部']",14:15:00,14:30:00
12,2018-09-12,梅田Zeela,HAPPY WEDNESDAY!!,"['MOTTY(梅田Zeela)', '変態理科の先生(梅田Zeela)', '名ブッカー鬼ヅッカー(梅田Zeela)', 'KAR', 'LINA', 'もすこ', 'NA2MI', 'やまだあゆみ']",20:00:00,20:00:00
13,2018-09-13,梅田Zeela,カイト企画第一段〜無所属が笑う頃に〜,"['The compliance', 'スーパーコツメカワウソ.com', '雪色魚の芽', 'ししゃもんちー', '橋本龍', 'デリヘル呼んだらみのりんが来た', ""Here's Johnny!"", '最強(さいつよ)ガールズバンド卍', 'ガーデニングクラブ', 'オレカシ', 'Yukumm Parabellum Bullet']",13:45:00,14:00:00
14,2018-09-14,梅田Zeela,unidentified circle〜未確認の輪〜,"['reading note', 'tenoto', 'butterfly inthe stomach']",18:30:00,19:00:00
15,2018-09-15,梅田Zeela,Pulse Factory シングル発売記念ワンマン大阪編,['Pulse Factory'],18:00:00,18:30:00
16,2018-09-16,梅田Zeela,『HEAVEN'S HERE 2018　～Thank you for...～』,"['Richard Roe', 'WONDER CITY BOYS', 'EPIC MONSTER', 'よほほ', 'gfb', 'ツキノスミカ']",15:30:00,16:00:00
17,2018-09-17,梅田Zeela,爆音Syndicate × Mr. Pepper Presents 「Spice of Life -IMPULSE-」,"['◼️ARTIST◼️', 'NANJAMAN', '導楽', '◼️BACKING BAND◼️', '拳POWA BAND（DRUM: Kon Ken(YOUTH OF ROOTS)/BASS: Chalis(MEDZ)/KEYBOARD: Mayumi/GUITAR: Satoshi(YOUTH OF ROOTS)）', '◼️SOUND◼️', 'ST & Tappoi fr. Hacnamatada', 'DownTown', 'VINYL CREATOR CREW']",17:00:00,17:00:00
18,2018-09-18,梅田Zeela,TSUBAZERIAI vol.6,"['Freaky Styley', 'ジャスパー', 'OLTER CURRENT', 'Re:vive', 'Re:Answer', 'MEET ME SATURDAY']",18:00:00,18:30:00
19,2018-09-19,梅田Zeela,"TSUBAZERIAI vol.7〜FoD ""Story Of Dawn"" release tour〜","['Freaky Styley', 'ジャスパー', 'RINNE', 'UANDistory', 'アオトルカ', '橙乃祐理', '嗜みロック', 'Faith of Destruction']",17:00:00,17:30:00
20,2018-09-20,梅田Zeela,Each one's anthem,"['TURBOBIER (from Austria)', 'トラベリング(東京)', 'Greenhorn Lullaby', 'ジンバジ', 'Northern Factory']",17:30:00,18:00:00
21,2018-09-21,梅田Zeela,Jupiter TOUR「Theory of Evolution ～chapterⅠ～」,['Jupiter'],18:30:00,19:00:00
22,2018-09-22,梅田Zeela,ROYALpark,"['ROYALcomfort', 'そよかぜ', 'LIFriends', '四季彼方', 'O.A.STREET ACADEMY']",18:00:00,18:30:00
23,2018-09-23,梅田Zeela,神大ジョイント,"['れでぃめいづ', 'CHILD♡PLAY', 'ゼロカロリー理論', '米津卍師', 'NICCHIGARDEN', ""Rubik's Cube AKIYAMA"", 'Co’mon(肛門)', 'ますみと弟子と', 'Mimix', 'No.1nsidents 2', '_t_k_y__from 凛としたLUNA(⚠送料かかります。) ', 'メンヘラスイッチ', '未読無視 is bad']",13:15:00,13:30:00
24,2018-09-24,梅田Zeela,IDOL SHOWER 2018,"['いのうえまなみ', 'pomme rose', 'Honey Melody', 'All de made', 'iDEAL', 'マリーナブルー', '松乃愛理 from 慟哭ideal']",11:00:00,11:30:00
25,2018-09-24,梅田Zeela,IDOL SHOWER 2018～いのうえまなみ生誕SP～,"['いのうえまなみ', 'pomme rose', 'Honey Melody', 'All de made', 'iDEAL', 'マリーナブルー', '松乃愛理 from 慟哭ideal', 'マリンスノウ']",16:30:00,17:00:00
26,2018-09-25,梅田Zeela,ライブハウスは遊び場です。-powered by DAIGO IIMURO from FM802-,"['THEラブ人間', 'シンガロンパレード', 'ムノーノ=モーゼス', 'レベル27', '[DJ&MC] 飯室大吾(FM802)']",18:00:00,18:30:00
27,2018-09-26,梅田Zeela,UMEDA EXPLOSION,"['然れど', 'リフレクト・リフレイン', 'First Penguin', ""Origin's Note"", 'Dict.', 'CAT ATE HOTDOGS']",18:00:00,18:30:00
28,2018-09-27,梅田Zeela,CRCK/LCKS 3rdEP『Double Rift』リリースツアー,"['CRCK/LCKS', 'SIRUP', 'YOKOYURE']",18:30:00,19:00:00
29,2018-09-28,梅田Zeela,GH presents「走馬灯」,"['GABセッション', '零(ex.REVINE)セッション', 'EviLA', 'ラガディ', '午前零時。']",00:00:00,00:00:00
